run_id,kind,corrects_run_id,period_from,period_to,cloud,platform,resource_type,resource_id,project_id,state,from_ts,to_ts,dimension,quantity,amount,currency
4b9d2c17-6e85-4f3a-8a01-c5d4e6f7a8b9,correction,3f1e6a58-9c24-4d0b-8f77-2a5c1b93e0d4,2026-03-01T00:00:00Z,2026-04-01T00:00:00Z,os-prod,openstack,instance,abc-123,proj-456,active,2026-03-01T00:00:00Z,2026-03-11T00:00:00Z,disk_gb,80.0000,19.20,EUR
4b9d2c17-6e85-4f3a-8a01-c5d4e6f7a8b9,correction,3f1e6a58-9c24-4d0b-8f77-2a5c1b93e0d4,2026-03-01T00:00:00Z,2026-04-01T00:00:00Z,os-prod,openstack,instance,abc-123,proj-456,active,2026-03-01T00:00:00Z,2026-03-11T00:00:00Z,egress_gb,18.0000,1.62,EUR
4b9d2c17-6e85-4f3a-8a01-c5d4e6f7a8b9,correction,3f1e6a58-9c24-4d0b-8f77-2a5c1b93e0d4,2026-03-01T00:00:00Z,2026-04-01T00:00:00Z,os-prod,openstack,instance,abc-123,proj-456,active,2026-03-01T00:00:00Z,2026-03-11T00:00:00Z,ram_gb,8.0000,9.60,EUR
4b9d2c17-6e85-4f3a-8a01-c5d4e6f7a8b9,correction,3f1e6a58-9c24-4d0b-8f77-2a5c1b93e0d4,2026-03-01T00:00:00Z,2026-04-01T00:00:00Z,os-prod,openstack,instance,abc-123,proj-456,active,2026-03-01T00:00:00Z,2026-03-11T00:00:00Z,vcpus,4.0000,19.20,EUR
4b9d2c17-6e85-4f3a-8a01-c5d4e6f7a8b9,correction,3f1e6a58-9c24-4d0b-8f77-2a5c1b93e0d4,2026-03-01T00:00:00Z,2026-04-01T00:00:00Z,os-prod,openstack,instance,abc-123,proj-456,shutoff,2026-03-11T00:00:00Z,2026-03-21T00:00:00Z,disk_gb,80.0000,9.60,EUR
4b9d2c17-6e85-4f3a-8a01-c5d4e6f7a8b9,correction,3f1e6a58-9c24-4d0b-8f77-2a5c1b93e0d4,2026-03-01T00:00:00Z,2026-04-01T00:00:00Z,os-prod,openstack,instance,abc-123,proj-456,shutoff,2026-03-11T00:00:00Z,2026-03-21T00:00:00Z,egress_gb,0.0000,0.00,EUR
4b9d2c17-6e85-4f3a-8a01-c5d4e6f7a8b9,correction,3f1e6a58-9c24-4d0b-8f77-2a5c1b93e0d4,2026-03-01T00:00:00Z,2026-04-01T00:00:00Z,os-prod,openstack,instance,abc-123,proj-456,shutoff,2026-03-11T00:00:00Z,2026-03-21T00:00:00Z,ram_gb,8.0000,4.80,EUR
4b9d2c17-6e85-4f3a-8a01-c5d4e6f7a8b9,correction,3f1e6a58-9c24-4d0b-8f77-2a5c1b93e0d4,2026-03-01T00:00:00Z,2026-04-01T00:00:00Z,os-prod,openstack,instance,abc-123,proj-456,shutoff,2026-03-11T00:00:00Z,2026-03-21T00:00:00Z,vcpus,4.0000,9.60,EUR
4b9d2c17-6e85-4f3a-8a01-c5d4e6f7a8b9,correction,3f1e6a58-9c24-4d0b-8f77-2a5c1b93e0d4,2026-03-01T00:00:00Z,2026-04-01T00:00:00Z,os-prod,openstack,instance,abc-123,proj-456,active,2026-03-21T00:00:00Z,2026-04-01T00:00:00Z,disk_gb,80.0000,21.12,EUR
4b9d2c17-6e85-4f3a-8a01-c5d4e6f7a8b9,correction,3f1e6a58-9c24-4d0b-8f77-2a5c1b93e0d4,2026-03-01T00:00:00Z,2026-04-01T00:00:00Z,os-prod,openstack,instance,abc-123,proj-456,active,2026-03-21T00:00:00Z,2026-04-01T00:00:00Z,egress_gb,22.5000,2.03,EUR
4b9d2c17-6e85-4f3a-8a01-c5d4e6f7a8b9,correction,3f1e6a58-9c24-4d0b-8f77-2a5c1b93e0d4,2026-03-01T00:00:00Z,2026-04-01T00:00:00Z,os-prod,openstack,instance,abc-123,proj-456,active,2026-03-21T00:00:00Z,2026-04-01T00:00:00Z,ram_gb,8.0000,10.56,EUR
4b9d2c17-6e85-4f3a-8a01-c5d4e6f7a8b9,correction,3f1e6a58-9c24-4d0b-8f77-2a5c1b93e0d4,2026-03-01T00:00:00Z,2026-04-01T00:00:00Z,os-prod,openstack,instance,abc-123,proj-456,active,2026-03-21T00:00:00Z,2026-04-01T00:00:00Z,vcpus,4.0000,21.12,EUR
